community_name,region_name,town_name,detail_address,subway_name,subway_station,subway_distance,completion_date_year,location_with_center
华龙美树,朝阳,管庄,建国路15号,八通线,双桥,395,2005年,五六环之间
大悦公寓,朝阳,朝青板块,朝阳北路99号,6号线,青年路,252,2010年,四五环之间
首创禧瑞都,朝阳,CBD,朝阳路139号,10号线,金台夕照,346,2015年,三四环之间
冠城大通澜石,朝阳,太阳宫,太阳宫南街25号,10号线,太阳宫,211,2013年,三四环之间
东恒时代(一期),朝阳,四惠,京通快速路,八通线,四惠,125,2002年,四五环之间
南沙滩小区,朝阳,南沙滩,大屯路,15号线,北沙滩,774,1981年,四五环之间
富力城(B区),朝阳,双井,天力街,10号线,双井,667,2005年,二三环之间
康营家园(A区),朝阳,孙河,康营东路,15号线,孙河,1212,2010年,五六环之间
金驹家园(F区),朝阳,东坝,东坝中街,15号线,孙河,1212,2012年,五六环之间
天溪园,朝阳,北苑,北苑路,5号线,北苑路北,564,2005年,五六环之间
金泽家园A区,朝阳,东坝,康各庄路,5号线,北苑路北,564,2012年,五六环之间
风林绿洲,朝阳,南沙滩,大屯路,15号线,奥林匹克公园,673,2015年,四五环之间
望京西园一区,朝阳,望京,阜安西路,15号线,望京,818,1993年,四五环之间
光大名筑,朝阳,亚运村小营,北苑路178号,5号线,惠新西街北口,611,2004年,四五环之间
天润福熙大道,朝阳,北苑,清河营东路1号,13号线,北苑,726,2016年,五六环之间
安华西里(一区),朝阳,安贞,"鼓楼外大街,近北三环中路",8号线,安华桥,302,1988年,二三环之间
金星园,朝阳,太阳宫,太阳宫南街,机场线,三元桥,754,1995年,三四环之间
润枫嘉尚,朝阳,十里堡,朝阳北路129号,6号线,十里堡,100,2009年,四五环之间
金泰先锋,朝阳,百子湾,石门村路,7号线,百子湾,377,2008年,四五环之间
潘家园东里,朝阳,潘家园,劲松南路,10号线,潘家园,690,1994年,二三环之间
华威北里,朝阳,潘家园,劲松南路,10号线,潘家园,396,1996年,二三环之间
华发颐园,朝阳,北苑,北苑路18号,5号线,立水桥南,239,2000年,五六环之间
丽都壹号,朝阳,酒仙桥,驼房营路,14号线(东),将台,1690,2011年,四五环之间
朝阳旺角,朝阳,双桥,双柳北街1号,八通线,双桥,1081,2004年,五六环之间
京润水上花园(别墅),朝阳,三元桥,霄云路18号,机场线,三元桥,1142,2001年,三四环之间
左家庄北里,朝阳,左家庄,左家庄西街,13号线,柳芳,913,1993年,二三环之间
东方瑞景,朝阳,建外大街,建国门外大街16号,1号线,永安里,641,2004年,二三环之间
城市出品,朝阳,安贞,胜古南里34号,5号线,和平西桥,511,2005年,三四环之间
金隅国际,朝阳,花家地,望京西路48号,15号线,望京西,1325,2004年,四五环之间
华远九都汇,朝阳,燕莎,麦子店西路9号,10号线,亮马桥,957,2010年,三四环之间
坝鑫家园,朝阳,东坝,东坝路,10号线,亮马桥,957,2013年,五六环之间
汇园公寓,朝阳,亚运村,北辰东路8号,8号线,奥体中心,1025,1997年,四五环之间
奥林匹克花园(一期),朝阳,东坝,东坝中路,8号线,奥体中心,1025,2003年,五六环之间
山水文园东园,朝阳,华威桥,弘燕路,14号线(东),北工大西门,1065,2018年,三四环之间
中海城香克林,朝阳,小红门,成寿寺路140号,亦庄线,肖村,559,2008年,三四环之间
红庙北里,朝阳,红庙,金台路,6号线,金台路,455,1989年,三四环之间
九台2000家园,朝阳,亚运村,安立路56号,15号线,安立路,462,2001年,四五环之间
长岛澜桥,朝阳,来广营,来广营东路9号,15号线,马泉营,1326,2005年,五六环之间
阳光新干线,朝阳,大屯,慧中北路,15号线,大屯路东,392,2003年,四五环之间
安慧里(一区),朝阳,亚运村,慧忠路,5号线,惠新西街北口,482,1990年,四五环之间
水郡长安1号院,朝阳,双桥,双桥路,八通线,双桥,661,2008年,五六环之间
苹果派,朝阳,常营,黄渠东路2号,6号线,黄渠,627,2007年,五六环之间
嘉润花园,朝阳,望京,广顺南大街19号,14号线(东),望京南,292,2001年,四五环之间
南湖中园小区,朝阳,望京,湖光北街,15号线,望京,780,1999年,四五环之间
都会华庭,朝阳,十里堡,十里堡甲3号,1号线,四惠,867,2001年,四五环之间
京棉新城,朝阳,十里堡,朝阳路,6号线,十里堡,453,2005年,四五环之间
东一时区,朝阳,双桥,八里桥南1号,八通线,管庄,1216,2003年,五六环之间
大成国际公寓,朝阳,国贸,百子湾路甲12号,7号线,百子湾,776,1999年,四五环之间
安慧里(二区),朝阳,亚运村,慧忠路,5号线,惠新西街北口,892,1996年,四五环之间
凯旋城,朝阳,亚运村小营,北苑路170号,15号线,大屯路东,575,2003年,四五环之间
新纪家园,朝阳,太阳宫,太阳宫中路,10号线,太阳宫,249,2002年,三四环之间
10AM新坐标,朝阳,潘家园,方庄东路,14号线(东),方庄,448,2005年,二三环之间
首开常青藤(B区),朝阳,东坝,东坝中街11号,14号线(东),方庄,448,2004年,五六环之间
乐成豪丽公寓,朝阳,双井,百子湾南二路72号,14号线(东),九龙山,290,2006年,三四环之间
大湖山庄,朝阳,来广营,和平路8号,15号线,孙河,1333,2003年,五六环之间
万象新天家园,朝阳,常营,常营北路10号,6号线,常营,627,2003年,五六环之间
青年汇佳园,朝阳,朝青板块,青年路,6号线,青年路,280,2015年,四五环之间
观唐,朝阳,来广营,观唐东路1号,15号线,马泉营,469,2004年,五六环之间
中国铁建国际城,朝阳,北苑,北苑东路,13号线,北苑,574,2011年,五六环之间
润泽悦溪,朝阳,北苑,水岸南街,13号线,北苑,1170,2010年,五六环之间
长安驿,朝阳,建外大街,建华南路6号,1号线,永安里,551,2005年,二三环之间
圣世一品,朝阳,东大桥,向军北里28号,10号线,呼家楼,352,2010年,二三环之间
甘露园南里二社区(甘露园南里二区),朝阳,甘露园,朝阳路,1号线,四惠东,774,1995年,四五环之间
圣馨大地家园,朝阳,望京,南湖南路9号,15号线,望京,729,2000年,四五环之间
银河湾,朝阳,酒仙桥,万西红街9号,14号线(东),望京南,598,2010年,四五环之间
世安家园,朝阳,望京,望京西路,15号线,望京西,783,1998年,四五环之间
博雅园,朝阳,朝阳公园,农展馆南路8号,14号线(东),朝阳公园,668,2000年,三四环之间
CLASS果岭里,朝阳,望京,广泽路6号,15号线,望京东,667,2003年,四五环之间
金泉家园,朝阳,亚运村,大屯路,5号线,大屯路东,425,2008年,四五环之间
华威西里,朝阳,潘家园,华威南路,10号线,潘家园,692,1993年,二三环之间
松榆东里,朝阳,潘家园,西大望路,14号线(东),北工大西门,303,1992年,三四环之间
京城雅居,朝阳,豆各庄,黄广路,7号线,焦化厂,2134,2001年,五六环之间
金泰丽富嘉园(28号院),朝阳,东坝,东坝中路28号,7号线,焦化厂,2134,2011年,五六环之间
慧谷金色家园(一期),朝阳,望京,望京西路,15号线,望京,769,2001年,四五环之间
宝星园,朝阳,望京,阜安西路,15号线,望京东,607,2009年,四五环之间
海润国际公寓,朝阳,酒仙桥,将台路乙2号,14号线(东),将台,834,2002年,四五环之间
中海城圣朝菲,朝阳,小红门,成寿寺路,亦庄线,肖村,616,2008年,三四环之间
花家地小区,朝阳,花家地,北四环东路,14号线(东),阜通,978,1993年,四五环之间
安慧北里秀园,朝阳,亚运村,慧忠北路,15号线,大屯路东,693,1999年,四五环之间
新荣家园,朝阳,亚运村,大屯北路,15号线,安立路,411,2000年,四五环之间
石韵浩庭,朝阳,双井,广渠路33号,14号线(东),九龙山,291,2004年,三四环之间
A派公寓,朝阳,双井,百子湾南二路78号,10号线,双井,602,2007年,三四环之间
天之骄子,朝阳,双井,东柏街9号,10号线,双井,389,2005年,三四环之间
逸盛阁,朝阳,三里屯,新东路10号,10号线,农业展览馆,1017,2010年,二三环之间
胜古家园,朝阳,安贞,北三环东路,5号线,和平西桥,378,1999年,三四环之间
浩运园,朝阳,亚运村,大屯路220号,15号线,大屯路东,290,2007年,四五环之间
首开知语城,朝阳,望京,望京西路,15号线,望京西,700,2007年,四五环之间
周庄嘉园C区,朝阳,十里河,西大望南路,14号线(东),北工大西门,1215,2000年,三四环之间
东恒时代(三期),朝阳,四惠,十里堡甲3号,1号线,四惠,656,2006年,四五环之间
燕莎后,朝阳,酒仙桥,酒仙桥路,14号线(东),东风北桥,1197,2004年,四五环之间
柳芳北里社区,朝阳,柳芳,柳芳北街,13号线,柳芳,445,1988年,二三环之间
SOHO北京公馆,朝阳,燕莎,新源南路5号,10号线,亮马桥,635,2008年,二三环之间
卧龙小区,朝阳,亚运村,慧忠北路,15号线,安立路,480,2015年,四五环之间
望京花园东区,朝阳,望京,利泽中二路,14号线(东),东湖渠,690,2002年,四五环之间
欧陆经典万兴苑,朝阳,亚运村小营,北苑路172号,15号线,大屯路东,832,1999年,四五环之间
安苑北里,朝阳,惠新西街,安定路,5号线,惠新西街北口,635,1986年,三四环之间
北纬40度(东区),朝阳,望京,广达路2号,14号线(东),来广营,405,2008年,五六环之间
方舟苑,朝阳,花家地,北四环东路甲9号,14号线(东),阜通,1495,1998年,四五环之间
安贞里(二区),朝阳,安贞,安定路,10号线,安贞门,562,1995年,三四环之间
大屯里小区,朝阳,大屯,北苑路,5号线,大屯路东,478,2003年,四五环之间
逸翠园(南区),朝阳,朝青板块,姚家园东里4号,6号线,青年路,2283,2000年,四五环之间
万科公园五号,朝阳,团结湖,甜水园街,14号线(东),金台路,234,2004年,三四环之间
平乐园小区,朝阳,潘家园,南磨房路,14号线(东),北工大西门,877,1996年,三四环之间
三源里街小区,朝阳,三元桥,新源街,10号线,亮马桥,785,1980年,二三环之间
莲葩园,朝阳,北苑,秋实西街,5号线,立水桥南,676,2003年,五六环之间
拂林园,朝阳,媒体村,北苑路,5号线,北苑路北,272,2000年,五六环之间
紫绶园,朝阳,北苑,秋实东街,13号线,北苑,558,1998年,五六环之间
胜古南里,朝阳,安贞,樱花园西街,5号线,和平西桥,375,1960年,三四环之间
柳芳南里社区,朝阳,柳芳,左家庄西街6号,13号线,柳芳,658,1988年,二三环之间
光熙门北里,朝阳,西坝河,北三环东路,13号线,光熙门,416,2010年,二三环之间
天月园,朝阳,媒体村,北苑路68号,5号线,北苑路北,466,2006年,五六环之间
炫彩嘉轩,朝阳,望京,阜安西路,15号线,望京东,746,2006年,四五环之间
泛海国际香海园,朝阳,朝阳公园,姚家园北路,6号线,十里堡,1564,2007年,四五环之间
晶都国际,朝阳,酒仙桥,酒仙桥路26号,14号线(东),将台,566,2000年,四五环之间
亮马名居,朝阳,朝阳公园,亮马桥路36号,14号线(东),枣营,962,2002年,三四环之间
冠军城,朝阳,南沙滩,南沙滩66号,15号线,北沙滩,416,2006年,四五环之间
泰华滨河苑,朝阳,酒仙桥,南十里居41号,14号线(东),东风北桥,941,2003年,四五环之间
定福家园北里,朝阳,定福庄,定福庄路,6号线,褡裢坡,162,2006年,五六环之间
世纪村(一区),朝阳,亚运村小营,育慧东路,15号线,关庄,766,1994年,四五环之间
胜古北里,朝阳,安贞,樱花园西街,10号线,惠新西街南口,333,1997年,三四环之间
大西洋新城(F区),朝阳,望京,南湖南路10号,14号线(东),阜通,379,2002年,四五环之间
安慧东里,朝阳,亚运村小营,小营东路,5号线,惠新西街北口,589,1994年,四五环之间
定福庄西街小区,朝阳,定福庄,定福庄西街,八通线,传媒大学,547,1990年,五六环之间
万方景轩,朝阳,太阳宫,太阳宫中路,10号线,太阳宫,132,2005年,三四环之间
燕归宁馨园,朝阳,十八里店,博大路23号,亦庄线,小红门,1217,2005年,四五环之间
泛海国际樱海园,朝阳,朝阳公园,姚家园路95号,14号线(东),朝阳公园,1661,2008年,四五环之间
嘉和丽园公寓,朝阳,三元桥,霄云路32号,10号线,三元桥,799,2001年,三四环之间
甜水园北里,朝阳,甜水园,水碓子中街,14号线(东),朝阳公园,609,2000年,三四环之间
融域嘉园,朝阳,奥林匹克公园,域清街2号,8号线,林萃桥,746,2005年,四五环之间
懿品阁,朝阳,北沙滩,大屯路甲1号,15号线,北沙滩,700,2006年,四五环之间
山水文园中园,朝阳,华威桥,弘燕路,14号线(东),十里河,924,2005年,三四环之间
道家园小区,朝阳,甜水园,甜水园东街7号,14号线(东),金台路,721,1990年,三四环之间
金台里,朝阳,红庙,金台路,6号线,金台路,811,1991年,三四环之间
US联邦公寓,朝阳,燕莎,东方东路1号,10号线,亮马桥,665,2006年,三四环之间
艺水芳园,朝阳,双桥,北花园街1号,八通线,传媒大学,840,2005年,五六环之间
芳园里社区(南区),朝阳,酒仙桥,将台路,14号线(东),将台,357,2015年,四五环之间
嘉里星源汇,朝阳,三元桥,新源路,10号线,亮马桥,647,2009年,二三环之间
通用时代国际公寓,朝阳,国贸,永安东里甲3号,1号线,永安里,412,2002年,二三环之间
万达大湖公馆,朝阳,奥林匹克公园,清林东路2号,5号线,立水桥南,896,2008年,五六环之间
倚林佳园,朝阳,奥林匹克公园,林萃路,8号线,林萃桥,804,2002年,四五环之间
安华里社区(四区),朝阳,安贞,安定门外大街,5号线,和平西桥,1089,1986年,二三环之间
观音惠园,朝阳,四惠,高碑店路,7号线,化工,1519,2006年,四五环之间
西坝河中里,朝阳,西坝河,七圣南路,13号线,光熙门,906,1990年,二三环之间
华严北里小区,朝阳,健翔桥,民族园西路157号,8号线,奥体中心,782,1993年,三四环之间
甘露园南里一社区(甘露园南里一区),朝阳,甘露园,朝阳路,1号线,四惠东,754,2015年,四五环之间
朝丰家园(8号院),朝阳,豆各庄,天达路8号,7号线,焦化厂,2340,2007年,五六环之间
CBD高尔夫球会别墅,朝阳,高碑店,高碑店路,7号线,双合,1319,2006年,四五环之间
西坝河北里,朝阳,西坝河,太阳宫南街,10号线,太阳宫,710,1988年,三四环之间
松榆里社区,朝阳,潘家园,松榆北路,14号线(东),北工大西门,653,2015年,三四环之间
和平街(十一区),朝阳,和平街,和平里东街,5号线,和平西桥,135,1985年,二三环之间
东润枫景(北区),朝阳,酒仙桥,酒仙桥路,14号线(东),东风北桥,867,2000年,四五环之间
农光东里,朝阳,劲松,南磨房路,10号线,劲松,734,1983年,三四环之间
乐成公馆,朝阳,双井,百子湾南二路74号,14号线(东),九龙山,352,2007年,三四环之间
北京青年城,朝阳,北苑,北苑东路,13号线,北苑,1441,2015年,五六环之间
鸿坤花语墅,朝阳,华威桥,西大望路42号,14号线(东),北工大西门,770,2011年,三四环之间
卓锦万代,朝阳,来广营,新锦路18号,15号线,孙河,2249,2006年,五六环之间
曙光里,朝阳,西坝河,曙光西路,机场线,三元桥,669,2015年,三四环之间
蓝色家园,朝阳,望京,广顺南大街21号,14号线(东),望京南,159,2000年,四五环之间
筑华年,朝阳,北苑,双营路2号,13号线,北苑,957,2010年,五六环之间
金隅丽景园,朝阳,常营,朝阳北路,6号线,草房,325,2010年,五六环之间
安华里社区(一区),朝阳,安贞,安定门外大街,8号线,安华桥,772,1988年,二三环之间
怡景园,朝阳,朝外大街,朝外大街,2号线,朝阳门,746,2002年,二三环之间
澳景花庭,朝阳,奥林匹克公园,花虎沟8号,8号线,林萃桥,913,2003年,四五环之间
霞光里小区,朝阳,三元桥,霄云路,10号线,三元桥,468,2004年,三四环之间
北京城建福润四季A区,朝阳,东坝,管庄路,10号线,三元桥,468,2014年,五六环之间
花家地南里,朝阳,花家地,阜通东大街,14号线(东),望京南,1119,1999年,四五环之间
润泽公馆,朝阳,北苑,水岸南街,13号线,北苑,1207,2015年,五六环之间
建东苑(西区),朝阳,管庄,朝阳路,八通线,双桥,824,2003年,五六环之间
美华世纪大厦,朝阳,建外大街,建华南路15号,1号线,永安里,721,2004年,二三环之间
加利大厦,朝阳,亚运村,北苑路180号,5号线,惠新西街北口,387,2005年,四五环之间
卡布其诺,朝阳,酒仙桥,将台路,14号线(东),将台,1411,2005年,四五环之间
和乔丽晶,朝阳,酒仙桥,芳园西路,14号线(东),将台,718,2000年,四五环之间
花家地西里(一区),朝阳,花家地,望京西路,14号线(东),阜通,982,1986年,四五环之间
山水文园西园,朝阳,华威桥,"弘燕路,近西燕街",14号线(东),十里河,550,2002年,三四环之间
亚运花园,朝阳,亚运村小营,小营北路,15号线,关庄,903,1996年,四五环之间
双桥温泉东里小区(南区),朝阳,管庄,双桥东路,八通线,八里桥,2249,2008年,五六环之间
泰禾北京院子,朝阳,孙河,顺黄路,15号线,孙河,1308,2015年,五六环之间
山水LAVIE,朝阳,北苑,红军营东路,13号线,北苑,492,2004年,五六环之间
南湖渠西里,朝阳,望京,望京西路,15号线,望京西,473,1988年,四五环之间
劲松北社区一区西小院(劲松一区),朝阳,劲松,劲松路,10号线,劲松,242,1977年,二三环之间
劲松东社区(劲松三区),朝阳,劲松,劲松路,10号线,劲松,321,1980年,二三环之间
天和人家,朝阳,南沙滩,军民团结路,15号线,北沙滩,529,2000年,四五环之间
望京明苑,朝阳,望京,广顺北大街36号,15号线,望京,618,2001年,四五环之间
安贞西里小区(安贞西里四区),朝阳,安贞,安贞路,8号线,安华桥,548,1988年,三四环之间
华馨公寓,朝阳,亚运村,朝阳区慧忠北里409号,15号线,安立路,551,1999年,四五环之间
港湾国际,朝阳,三里屯,东直门外大街28号,机场线,东直门,949,2004年,二三环之间
宝星华庭,朝阳,望京,阜通西大街,15号线,望京东,675,2008年,四五环之间
